año,isla,desempleo,sueldos
2021,El Hierro,3.466666666666667,60.71666666666667
2021,La Gomera,5.36,57.19
2021,La Palma,4.458974358974359,56.95641025641026
2021,Tenerife,6.080538302277433,57.59068322981366
2022,El Hierro,2.733333333333333,60.449999999999996
2022,La Gomera,2.4909090909090907,60.618181818181824
2022,La Palma,3.420512820512821,57.720512820512816
2022,Tenerife,2.825256673511294,60.719096509240245
2023,El Hierro,2.45,59.43333333333334
2023,La Gomera,2.190909090909091,60.82727272727273
2023,La Palma,3.1025641025641026,57.54615384615385
2023,Tenerife,2.5075975359342917,61.11314168377823
